# source_id - Gaia DR2 identifier
# flags - stream name
# source - the literature source (explained below)
# Keys for literature sources given in this column are the following: 
# Koposov10 - Koposov et al. 2010 radial velocities, the distances are estimated from fits to tracks
# Li17 - Li et al. 2017 radial velocities, the distances are estimated from fits to tracks
# Willet09 - Willet et al. 2009 radial velocities, the distances are estimated from fits to tracks
# Ibata17 - Ibata et al. 2017 radial velocities, the distances are estimated from fits to tracks
# PriceWhelan19 - Price-Whelan et al. 2019 distances, radial velocities are estimated from fits to tracks
# Koposov19 - Koposov et al. 2019 distances, radial velocities are estimated from fits to tracks
# Koposov19&Li17 - Koposov et al. 2019 distances, Li et al. 2017 radial velocities
# Koppelman19 - Koppelman et al. 2019 members
# dist - heliocentric distances (in kpc)
# radial_velocity - heliocentric radial velocities (in km/s)
# radial_velocity_error - radial velocity errors (in km/s), missing for the stars for which radial velocity was estimated from tracks


# source_id             flags    source           dist        radial_velocity   radial_velocity_error
  4418265022406118784   Pal5     Ibata17          20.2295     -44.77            1.04                   
  4418914936857620224   Pal5     Ibata17          20.491816   -55.51            0.94                   
  4418920159537849856   Pal5     Ibata17          20.500805   -55.53            1.31                   
  4418731902531386240   Pal5     Ibata17          20.498545   -43.26            0.83                   
  4418913665547290112   Pal5     Ibata17          20.487307   -55.62            1.23                   
  4418722792905072512   Pal5     Ibata17          20.479235   -56.47            1.08                   
  4418919914723874560   Pal5     Ibata17          20.4945     -54.94            1.15                   
  4418919953379415808   Pal5     Ibata17          20.496687   -54.37            0.98                   
  4418913901769619200   Pal5     Ibata17          20.488064   -56.06            1.51                   
  4418920017803112832   Pal5     Ibata17          20.496521   -56.58            0.89                   
  4418920636278474880   Pal5     Ibata17          20.51242    -55.59            1.32                   
  4418913906065459840   Pal5     Ibata17          20.489307   -57.49            0.78                   
  4418914833778403712   Pal5     Ibata17          20.48972    -55.48            0.61                   
  4418720460738494080   Pal5     Ibata17          20.497507   -57.59            0.76                   
  4418688536245813888   Pal5     Ibata17          20.387299   -58.01            2.94                   
  4418920846732620416   Pal5     Ibata17          20.494781   -53.91            0.76                   
  4419055055870634368   Pal5     Ibata17          20.63784    -54.82            0.81                   
  4418938129681045248   Pal5     Ibata17          20.49196    83.11             1.07                   
  4418926138132347008   Pal5     Ibata17          20.504755   -54.78            0.97                   
  4641558272441088      Helmi    Koppelman19      1.0043122   188.74            13.25                  
  25052342374772736     Helmi    Koppelman19      3.3262365   -20.32            8.43                   
  40341188999965056     Helmi    Koppelman19      0.7983564   114.57            17.59                  
  88903903177506304     Helmi    Koppelman19      1.2856349   -41.61            14.64                  
  114370963299054720    Helmi    Koppelman19      1.7975024   -55.11            6.46                   
  129029789761784320    Helmi    Koppelman19      0.57393974  76.4              10.56                  
  133659416611738496    Helmi    Koppelman19      1.7495706   -27.04            5.69                   
  148992625953529216    Helmi    Koppelman19      0.8392404   71.16278          0.519406               
  166864465909649024    Helmi    Koppelman19      3.2056022   -59.42            11.75                  
  214416419665198976    Helmi    Koppelman19      3.613224    -65.12            10.55                  
  277505056837614336    Helmi    Koppelman19      0.46285194  -141.65           10.65                  
  297601582475179520    Helmi    Koppelman19      0.71099824  109.12            7.41                   
  298510126972435200    Helmi    Koppelman19      2.1130629   -37.23            12.17                  
